,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
ENG-Premier League,1819,Burnley,Chris Wood,NZL,FW,26,1991,28.8,613,601,10,1,4,2,12,0,0,0,0,0,390,2,16
ENG-Premier League,1819,Burnley,Dwight McNeil,ENG,MF,18,1999,17.7,583,522,53,26,4,5,117,5,22,20,1,0,380,8,33
ENG-Premier League,1819,Burnley,Jack Cork,ENG,MF,29,1989,36.8,1348,1335,9,4,3,20,14,1,1,1,0,0,1083,4,20
ENG-Premier League,1819,Burnley,James Tarkowski,ENG,DF,25,1992,34.3,1150,1125,17,14,0,23,5,3,0,0,0,0,792,8,6
ENG-Premier League,1819,Burnley,Jeff Hendrick,IRL,"MF,FW",26,1992,22.9,690,652,35,2,4,2,24,4,2,1,0,0,503,3,30
ENG-Premier League,1819,Burnley,Joe Hart,ENG,GK,31,1987,19.0,622,331,284,103,0,1,0,0,0,0,0,0,302,7,0
ENG-Premier League,1819,Burnley,Jóhann Berg Guðmundsson,ISL,MF,27,1990,19.5,620,534,81,30,1,7,119,5,46,32,9,1,397,5,21
ENG-Premier League,1819,Burnley,Kevin Long,IRL,DF,27,1990,5.7,170,164,6,4,0,2,0,2,0,0,0,0,138,0,3
ENG-Premier League,1819,Burnley,Matthew Lowton,ENG,DF,29,1989,19.4,914,690,219,6,3,4,58,213,0,0,0,0,626,5,20
ENG-Premier League,1819,Burnley,Matěj Vydra,CZE,FW,26,1992,3.5,75,69,6,0,1,1,1,1,1,0,0,0,48,0,3
ENG-Premier League,1819,Burnley,Peter Crouch,ENG,FW,37,1981,1.0,29,28,0,0,0,0,0,0,0,0,0,0,11,1,0
ENG-Premier League,1819,Burnley,Phil Bardsley,SCO,DF,33,1985,18.6,783,583,195,9,0,3,37,186,0,0,0,0,526,5,19
ENG-Premier League,1819,Burnley,Robbie Brady,IRL,MF,26,1992,8.0,288,240,43,16,1,3,53,7,20,4,12,3,157,5,7
ENG-Premier League,1819,Burnley,Sam Vokes,WAL,FW,28,1989,10.2,271,265,4,0,1,0,1,0,0,0,0,0,136,2,5
ENG-Premier League,1819,Burnley,Stephen Ward,IRL,DF,32,1985,2.5,146,120,26,1,0,0,8,25,0,0,0,0,105,0,6
ENG-Premier League,1819,Burnley,Steven Defour,BEL,MF,30,1988,5.0,255,245,8,8,1,0,4,0,0,0,0,0,203,2,3
ENG-Premier League,1819,Burnley,Tom Heaton,ENG,GK,32,1986,19.0,592,329,257,85,0,0,0,0,0,0,0,0,294,6,0
ENG-Premier League,1819,Cardiff City,Aron Gunnarsson,ISL,MF,29,1989,25.2,921,750,168,6,4,5,12,157,0,0,0,0,600,3,8
ENG-Premier League,1819,Cardiff City,Bobby Reid,JAM,"FW,MF",25,1993,15.8,320,299,19,0,2,1,6,1,0,0,0,0,224,2,14
ENG-Premier League,1819,Cardiff City,Bruno Ecuele Manga,GAB,DF,30,1988,37.5,1097,937,152,40,2,7,20,112,0,0,0,0,692,8,28
ENG-Premier League,1819,Cardiff City,Callum Paterson,SCO,"FW,MF",23,1994,22.2,580,570,5,0,2,3,23,0,0,0,0,0,272,5,17
ENG-Premier League,1819,Cardiff City,Danny Ward,ENG,FW,26,1991,4.9,94,87,7,0,0,1,2,0,0,0,0,0,50,0,2
ENG-Premier League,1819,Cardiff City,Gary Madine,ENG,"FW,MF",27,1990,0.4,12,10,2,0,0,0,0,0,0,0,0,0,10,0,0
ENG-Premier League,1819,Cardiff City,Greg Cunningham,IRL,DF,27,1991,7.0,220,179,38,7,0,1,7,31,0,0,0,0,157,3,2
ENG-Premier League,1819,Cardiff City,Harry Arter,IRL,MF,28,1989,22.2,680,612,65,11,3,7,17,2,0,0,0,0,539,3,12
ENG-Premier League,1819,Cardiff City,Jazz Richards,WAL,"DF,MF",27,1991,1.5,38,25,13,1,0,0,0,12,0,0,0,0,24,0,0
ENG-Premier League,1819,Cardiff City,Joe Bennett,ENG,DF,28,1990,29.3,931,699,229,37,2,5,43,191,1,1,0,0,639,3,31
ENG-Premier League,1819,Cardiff City,Joe Ralls,ENG,MF,24,1993,21.8,864,749,107,57,1,6,77,1,49,34,10,4,563,8,21
ENG-Premier League,1819,Cardiff City,Josh Murphy,ENG,"MF,FW",23,1995,20.2,391,363,25,6,4,2,74,6,12,5,1,4,203,3,31
ENG-Premier League,1819,Cardiff City,Junior Hoilett,CAN,"MF,FW",28,1990,23.8,537,490,41,12,2,2,85,3,26,19,4,1,338,6,24
ENG-Premier League,1819,Cardiff City,Kadeem Harris,ENG,MF,25,1993,4.2,104,103,0,0,0,0,15,0,0,0,0,0,66,1,5
ENG-Premier League,1819,Cardiff City,Kenneth Zohore,DEN,FW,24,1994,8.4,145,140,3,0,1,0,7,0,0,0,0,0,87,2,5
ENG-Premier League,1819,Cardiff City,Leandro Bacuna,CUW,MF,26,1991,6.2,163,145,16,6,1,3,7,9,1,0,1,0,105,2,4
ENG-Premier League,1819,Cardiff City,Lee Peltier,ENG,DF,31,1986,17.2,443,341,98,7,0,1,6,91,0,0,0,0,274,4,14
ENG-Premier League,1819,Cardiff City,Loïc Damour,FRA,MF,27,1991,0.3,12,11,0,0,0,1,0,0,0,0,0,0,8,1,0
ENG-Premier League,1819,Cardiff City,Nathaniel Mendez-Laing,GUA,"MF,FW",26,1992,10.9,287,280,5,0,1,0,27,3,2,1,0,0,169,2,23
ENG-Premier League,1819,Cardiff City,Neil Etheridge,PHI,GK,28,1990,38.0,1202,711,484,165,0,0,0,0,0,0,0,0,415,7,1
ENG-Premier League,1819,Cardiff City,Oumar Niasse,SEN,FW,28,1990,10.3,173,168,3,0,0,1,4,0,0,0,0,0,108,2,12
ENG-Premier League,1819,Cardiff City,Rhys Healey,WAL,FW,23,1994,0.6,14,10,4,0,0,0,3,4,0,0,0,0,4,0,2
ENG-Premier League,1819,Cardiff City,Sean Morrison,ENG,DF,27,1991,33.8,911,735,174,7,0,6,5,167,0,0,0,0,528,2,10
ENG-Premier League,1819,Cardiff City,Sol Bamba,CIV,DF,33,1985,27.5,559,541,15,10,1,1,1,5,0,0,0,0,385,3,10
ENG-Premier League,1819,Cardiff City,Víctor Camarasa,ESP,MF,24,1994,28.5,1017,868,142,51,13,7,121,4,77,42,19,10,710,7,37
ENG-Premier League,1819,Chelsea,Andreas Christensen,DEN,DF,22,1996,6.9,459,445,14,13,0,3,0,1,0,0,0,0,426,0,4
ENG-Premier League,1819,Chelsea,Antonio Rüdiger,GER,DF,25,1993,31.9,2557,2491,58,47,8,28,1,11,0,0,0,0,2332,8,7
ENG-Premier League,1819,Chelsea,Callum Hudson-Odoi,ENG,FW,17,2000,4.4,231,226,5,0,0,2,22,2,3,0,2,1,185,0,1
ENG-Premier League,1819,Chelsea,Cesc Fàbregas,ESP,MF,31,1987,2.0,198,185,11,8,4,2,1,2,1,1,0,0,169,2,1
ENG-Premier League,1819,Chelsea,César Azpilicueta,ESP,DF,28,1989,37.8,2950,2563,381,38,2,4,118,343,0,0,0,0,2494,6,74
ENG-Premier League,1819,Chelsea,David Luiz,BRA,DF,31,1987,36.0,2643,2521,113,103,42,48,4,10,0,0,0,0,2317,9,10
ENG-Premier League,1819,Chelsea,Davide Zappacosta,ITA,DF,26,1992,1.4,91,74,17,2,0,1,1,15,0,0,0,0,74,0,3
ENG-Premier League,1819,Chelsea,Eden Hazard,BEL,FW,27,1991,32.5,1985,1810,166,54,13,37,145,12,92,39,32,6,1581,9,47
ENG-Premier League,1819,Chelsea,Emerson Palmieri,ITA,DF,23,1994,7.4,523,459,64,5,2,1,28,59,0,0,0,0,451,0,13
ENG-Premier League,1819,Chelsea,Gary Cahill,ENG,DF,32,1985,0.3,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0
ENG-Premier League,1819,Chelsea,Gonzalo Higuaín,ARG,FW,30,1987,12.1,320,313,5,0,5,5,2,0,0,0,0,0,244,2,14
ENG-Premier League,1819,Chelsea,Jorginho,ITA,MF,26,1991,35.1,3133,3071,50,49,34,11,2,1,0,0,0,0,2785,12,31
ENG-Premier League,1819,Chelsea,Kepa Arrizabalaga,ESP,GK,23,1994,36.0,1161,863,296,40,0,2,0,0,0,0,0,0,1011,2,1
ENG-Premier League,1819,Chelsea,Marcos Alonso,ESP,DF,27,1990,30.7,2255,1950,302,30,2,17,98,272,0,0,0,0,1862,3,52
ENG-Premier League,1819,Chelsea,Mateo Kovačić,CRO,MF,24,1994,19.3,1484,1439,44,13,8,10,8,7,1,0,0,0,1359,1,14
ENG-Premier League,1819,Chelsea,N'Golo Kanté,FRA,MF,27,1991,34.4,2056,2032,15,9,4,7,19,6,0,0,0,0,1789,9,54
ENG-Premier League,1819,Chelsea,Olivier Giroud,FRA,FW,31,1986,9.4,263,257,5,0,0,2,1,0,0,0,0,0,178,1,6
ENG-Premier League,1819,Chelsea,Pedro,ESP,FW,31,1987,19.8,1138,1115,17,7,7,12,61,5,5,3,0,1,937,6,28
ENG-Premier League,1819,Chelsea,Ross Barkley,ENG,MF,24,1993,13.8,971,941,27,4,4,7,7,7,0,0,0,0,877,3,14
ENG-Premier League,1819,Chelsea,Ruben Loftus-Cheek,ENG,"MF,FW",22,1996,11.1,616,592,23,4,2,1,2,3,2,0,0,0,539,1,13
ENG-Premier League,1819,Chelsea,Victor Moses,NGA,FW,27,1990,0.3,13,13,0,0,0,0,0,0,0,0,0,0,10,0,2
ENG-Premier League,1819,Chelsea,Willian,BRA,FW,29,1988,23.3,1413,1249,156,39,8,13,169,6,111,31,52,11,1097,8,38
ENG-Premier League,1819,Chelsea,Willy Caballero,ARG,GK,36,1981,2.0,63,41,22,6,0,0,0,0,0,0,0,0,51,0,0
ENG-Premier League,1819,Chelsea,Álvaro Morata,ESP,FW,25,1992,10.5,233,226,6,0,1,3,3,0,0,0,0,0,176,1,7
ENG-Premier League,1819,Crystal Palace,Aaron Wan-Bissaka,ENG,DF,20,1997,34.8,1566,1217,346,4,1,0,56,342,0,0,0,0,1146,3,54
ENG-Premier League,1819,Crystal Palace,Alexander Sørloth,NOR,FW,22,1995,2.1,60,60,0,0,0,0,1,0,0,0,0,0,38,0,2
ENG-Premier League,1819,Crystal Palace,Andros Townsend,ENG,"FW,MF",27,1991,33.4,1209,1113,89,10,1,4,161,14,38,20,0,9,861,7,61
ENG-Premier League,1819,Crystal Palace,Bakary Sako,MLI,FW,30,1988,0.3,13,12,1,0,0,1,3,0,0,0,0,0,8,0,2
ENG-Premier League,1819,Crystal Palace,Cheikhou Kouyaté,SEN,MF,28,1989,21.1,781,771,10,2,1,2,8,8,0,0,0,0,622,0,14
ENG-Premier League,1819,Crystal Palace,Christian Benteke,BEL,FW,27,1990,9.0,241,226,14,1,0,4,1,0,0,0,0,0,136,1,4
ENG-Premier League,1819,Crystal Palace,Connor Wickham,ENG,"FW,MF",25,1993,0.7,12,11,1,0,0,0,1,0,0,0,0,0,5,0,1
ENG-Premier League,1819,Crystal Palace,James McArthur,SCO,MF,30,1987,34.0,1445,1392,45,12,4,10,15,22,1,0,0,0,1135,8,28
ENG-Premier League,1819,Crystal Palace,James Tomkins,ENG,DF,29,1989,28.4,1119,1069,45,43,0,13,1,2,0,0,0,0,924,5,4
ENG-Premier League,1819,Crystal Palace,Jason Puncheon,ENG,MF,32,1986,0.1,12,12,0,0,0,0,0,0,0,0,0,0,9,0,1
ENG-Premier League,1819,Crystal Palace,Jeffrey Schlupp,GHA,"MF,FW",25,1992,18.6,658,642,13,3,3,3,17,8,0,0,0,0,489,3,24
ENG-Premier League,1819,Crystal Palace,Joel Ward,ENG,DF,28,1989,6.1,255,195,59,2,0,0,7,57,0,0,0,0,183,1,5
ENG-Premier League,1819,Crystal Palace,Jordan Ayew,GHA,FW,26,1991,13.1,283,263,18,0,2,1,15,1,0,0,0,0,207,2,13
ENG-Premier League,1819,Crystal Palace,Julián Speroni,ARG,GK,39,1979,1.0,35,19,16,3,0,0,0,0,0,0,0,0,15,0,0
ENG-Premier League,1819,Crystal Palace,Luka Milivojević,SRB,MF,27,1991,38.0,2189,1912,267,114,2,28,185,8,143,54,28,52,1649,10,32
ENG-Premier League,1819,Crystal Palace,Luke Dreher,ENG,FW,19,1998,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
ENG-Premier League,1819,Crystal Palace,Mamadou Sakho,FRA,DF,28,1990,26.8,1329,1286,41,35,0,6,0,6,0,0,0,0,1177,2,5
ENG-Premier League,1819,Crystal Palace,Martin Kelly,ENG,DF,28,1990,12.3,359,349,10,10,0,5,2,0,0,0,0,0,270,0,4
ENG-Premier League,1819,Crystal Palace,Max Meyer,GER,MF,22,1995,15.7,697,666,23,2,0,1,24,2,19,15,1,0,562,8,17
ENG-Premier League,1819,Crystal Palace,Michy Batshuayi,BEL,FW,24,1993,8.3,165,156,8,0,1,2,1,0,0,0,0,0,106,1,9
ENG-Premier League,1819,Crystal Palace,Pape Souaré,SEN,DF,28,1990,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
ENG-Premier League,1819,Crystal Palace,Patrick van Aanholt,NED,DF,27,1990,35.5,1971,1603,364,46,5,7,42,316,2,0,1,1,1564,4,33
ENG-Premier League,1819,Crystal Palace,Scott Dann,ENG,DF,31,1987,7.4,268,245,20,19,0,2,0,1,0,0,0,0,193,3,3
ENG-Premier League,1819,Crystal Palace,Vicente Guaita,ESP,GK,31,1987,19.5,597,345,244,53,0,0,0,0,0,0,0,0,299,8,1
ENG-Premier League,1819,Crystal Palace,Wayne Hennessey,WAL,GK,31,1987,17.5,519,303,213,70,0,1,0,0,0,0,0,0,275,3,0
ENG-Premier League,1819,Crystal Palace,Wilfried Zaha,CIV,FW,25,1992,33.7,1081,1025,47,6,6,11,37,29,2,0,0,0,818,9,50
ENG-Premier League,1819,Everton,Ademola Lookman,NGA,"FW,MF",20,1997,6.9,274,258,15,2,1,0,15,5,7,1,2,0,224,1,7
ENG-Premier League,1819,Everton,André Gomes,POR,MF,25,1993,22.0,1224,1181,41,16,1,28,16,6,0,0,0,0,1026,2,16
ENG-Premier League,1819,Everton,Bernard,BRA,"FW,MF",25,1992,23.5,864,851,10,2,7,3,51,4,4,1,2,0,625,3,24
ENG-Premier League,1819,Everton,Cenk Tosun,TUR,FW,27,1991,11.8,264,251,11,1,1,1,4,0,0,0,0,0,183,2,12
ENG-Premier League,1819,Everton,Dominic Calvert-Lewin,ENG,FW,21,1997,19.8,439,431,6,0,3,0,8,1,0,0,0,0,266,2,14
ENG-Premier League,1819,Everton,Gylfi Sigurðsson,ISL,MF,28,1989,34.6,1206,1011,176,56,19,2,196,1,105,39,59,3,802,19,49
ENG-Premier League,1819,Everton,Idrissa Gana Gueye,SEN,MF,28,1989,31.4,1761,1710,45,30,4,18,13,1,0,0,0,0,1472,6,26
ENG-Premier League,1819,Everton,James McCarthy,IRL,MF,27,1990,0.2,7,5,2,1,0,0,0,1,0,0,0,0,7,0,0
